City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Saint-Pierre,RE,2021-12-02 14:13:09,-21.3393,55.4781,82.04,75,20,26.46
240,Zunyi,CN,2021-12-02 14:13:09,27.6867,106.9072,48.79,82,85,3.85
241,Husavik,IS,2021-12-02 14:13:10,66.0449,-17.3389,31.06,81,100,13.6
242,Sitka,US,2021-12-02 14:13:10,57.0531,-135.33,33.69,80,90,6.91
243,Phan Thiet,VN,2021-12-02 14:13:10,10.9333,108.1,75.38,84,95,7.16
244,Araouane,ML,2021-12-02 14:13:10,18.9048,-3.5265,91.35,8,7,6.38
245,Basoko,CD,2021-12-02 14:13:11,1.2391,23.616,88.95,49,100,2.95
246,Mahebourg,MU,2021-12-02 14:13:11,-20.4081,57.7,82.26,78,75,11.5
247,Mehamn,NO,2021-12-02 14:13:11,71.0357,27.8492,30.11,68,98,13.4
248,San Cristobal,VE,2021-12-02 14:13:11,7.7669,-72.225,71.78,62,73,5.55
249,Hit,IQ,2021-12-02 14:13:12,33.6416,42.8251,63.03,34,4,11.77
250,Lensk,RU,2021-12-02 14:13:12,60.7253,114.9278,-10.79,96,100,5.95
251,East London,ZA,2021-12-02 14:13:12,-33.0153,27.9116,68.76,74,100,21.27
252,Swift Current,CA,2021-12-02 14:13:12,50.2834,-107.8014,34.99,99,100,6.44
253,Kahului,US,2021-12-02 14:13:13,20.8947,-156.47,69.06,88,1,0.0
254,Neustadt,DE,2021-12-02 14:13:13,49.7117,12.0872,36.57,91,100,4.9
255,Dunda,TZ,2021-12-02 14:13:13,-8.1167,34.25,86.58,33,60,4.47
256,Taltal,CL,2021-12-02 14:13:13,-25.4,-70.4833,65.05,70,30,5.1
257,Xai-Xai,MZ,2021-12-02 14:13:14,-25.0519,33.6442,83.41,59,0,16.02
258,Jurbarkas,LT,2021-12-02 14:13:14,55.0778,22.7664,33.04,94,100,18.59
259,Bengkulu,ID,2021-12-02 14:13:14,-3.8004,102.2655,78.1,84,65,5.01
260,Villaviciosa,ES,2021-12-02 14:09:01,43.4813,-5.4357,54.16,74,100,9.98
261,Svetlogorsk,BY,2021-12-02 14:13:14,52.6333,29.7333,38.61,92,99,10.8
262,Conceicao Do Araguaia,BR,2021-12-02 14:13:15,-8.2578,-49.2647,73.63,94,100,2.51
263,Awjilah,LY,2021-12-02 14:13:15,29.1081,21.2869,67.57,41,100,6.76
264,Cockburn Town,TC,2021-12-02 14:13:15,21.4612,-71.1419,81.03,73,6,15.17
265,Hay River,CA,2021-12-02 14:13:15,60.8156,-115.7999,1.36,85,75,3.44
266,Kenai,US,2021-12-02 14:13:16,60.5544,-151.2583,17.15,85,90,5.75
267,Murdochville,CA,2021-12-02 14:13:16,48.9583,-65.5006,17.91,72,100,7.47
268,Paamiut,GL,2021-12-02 14:13:16,61.994,-49.6678,29.1,74,100,6.13
